Process ID: 23280
Status: dead
Hyperparameters: {"step_size": 0.001, "batch_size": 128, "rounds": 600, "dataset_name": "mnist", "cuda_core": -1, "training_mode": "entire", "report_sampling_rate": 5, "measurement_sampling_rate": 399, "model": "cnn", "config": [32], "K": 1, "communication_delay": 0, "n_workers": 1, "beta": 0.5, "gamma": 1.0, "prox_lambda": 0.0, "block_accuracy_factor": 0.5, "reports_dir": "mnist_entire_long"}

[2025-11-24 16:50:08] Frame initialization took 8.23 seconds
[2025-11-24 16:50:08] Total number of parameters: 10,474
[2025-11-24 16:50:08] Started the training loop
[2025-11-24 16:50:08] Total epochs: 600
[2025-11-24 16:50:09] Starting measurement units
[2025-11-24 16:50:09] Finished measurement units , took 0.00 seconds
[2025-11-24 16:51:32] Time 0.55: Energy = 1.5234737396240234, Accuracy = 0.43, ComputeTimeShare = 0.0
[2025-11-24 16:51:32] Time 0.555: Energy = 1.5260798931121826, Accuracy = 0.44, ComputeTimeShare = 0.0
[2025-11-24 16:51:33] Time 0.56: Energy = 1.5157488584518433, Accuracy = 0.43, ComputeTimeShare = 0.0
[2025-11-24 16:51:34] Time 0.565: Energy = 1.5348759889602661, Accuracy = 0.4, ComputeTimeShare = 0.0
[2025-11-24 16:51:34] Time 0.57: Energy = 1.513598084449768, Accuracy = 0.45, ComputeTimeShare = 0.0
[2025-11-24 16:51:35] Time 0.575: Energy = 1.516608715057373, Accuracy = 0.44, ComputeTimeShare = 0.0
[2025-11-24 16:51:36] Time 0.58: Energy = 1.5128706693649292, Accuracy = 0.42, ComputeTimeShare = 0.0
[2025-11-24 16:51:36] Time 0.585: Energy = 1.5112355947494507, Accuracy = 0.42, ComputeTimeShare = 0.0
[2025-11-24 16:51:37] Time 0.59: Energy = 1.5220812559127808, Accuracy = 0.41, ComputeTimeShare = 0.0
[2025-11-24 16:51:38] Time 0.595: Energy = 1.4979723691940308, Accuracy = 0.44, ComputeTimeShare = 0.0
[2025-11-24 16:51:39] Time 0.6: Energy = 1.5017316341400146, Accuracy = 0.41, ComputeTimeShare = 0.0
[2025-11-24 16:51:39] Training completed in 90.26s over 600 rounds
[2025-11-24 16:51:39] Training completed in 90.26 seconds
[2025-11-24 16:51:39] Process ended
